Race,Year,Date,Finishers
Honoring our Heroes Marathon,2023,11/18/23,69
Conquer the Cove Marathon,2023,5/28/23,68
Grasslands Trail Run Marathon,2023,3/18/23,68
Leading Ladies Marathon,2023,8/20/23,68
Museum of Aviation Foundation Marathon,2023,1/14/23,68
Run WoodStock,2023,9/9/23,68
Extraterrestrial Full Moon Midnight Marathon,2023,8/6/23,67
Laredo Marathon,2023,11/5/23,67
Lock 2 Lock Marathon,2023,9/9/23,67
Rim Rock Marathon,2023,11/5/23,67
Little Apple Marathon,2023,10/7/23,66
Madeline Island Marathon,2023,5/20/23,65
Run for the Lakes,2023,4/29/23,65
Skagit Flats Marathon,2023,10/1/23,65
Timp Trail Marathon,2023,5/20/23,64
Fort Smith Marathon,2023,9/24/23,63
Conquer the Canyon Race Festival,2023,7/22/23,62
Frank Maier Marathon,2023,7/29/23,62
Northern Trails Marathon,2023,3/11/23,62
Frisco Railroad Run (formerly the Frisco Marathon),2023,4/29/23,61
The Montana Governor's Cup Marathon,2023,6/10/23,61
Trail Marathon,2023,4/29/23,61
God's Country Marathon,2023,6/3/23,60
Wabash Trace Marathon,2023,9/9/23,60
Back Your Badge Marathon,2023,9/23/23,59
Blue Ridge Marathon,2023,4/22/23,59
Ellerbe Springs Marathon,2023,2/25/23,59
Fort Ebey Kettles Trail Run,2023,2/25/23,58
New England Series - VT,2023,6/8/23,58
Run the River Marathon,2023,4/8/23,58
Ghost of Seattle Marathon,2023,11/25/23,57
Escalante Canyons Marathon,2023,10/14/23,56
New England Series - RI,2023,6/6/23,56
Tunnel Hill Marathon,2023,11/12/23,56
Willamette Valley Marathon,2023,9/17/23,56
Heartland Series - IN,2023,7/10/23,55
Elroy Apple Dumpling Day Marathon,2023,9/9/23,54
Heartland Series - MI,2023,7/9/23,54
Bucks County Marathon,2023,10/28/23,53
New England Series - ME,2023,6/10/23,53
Pacific Northwest Marathon,2023,9/16/23,53
Appalachian Series - GA,2023,3/25/23,52
Independence Series - MD,2023,6/1/23,52
Minocqua Northwoods Escape Marathon,2023,5/28/23,52
Old Forge Marathon,2023,9/9/23,52
Bear Lake Idaho Marathon,2023,6/8/23,51
Heartland Series - OH,2023,7/8/23,51
Independence Series - DE,2023,5/31/23,51
Lake Mead Marathon,2023,1/14/23,51
Pocono Mountains Marathon Race Festival,2023,10/21/23,51
Bear Lake Wyoming Marathon,2023,6/9/23,50
Hawk Hundred Marathon,2023,9/9/23,50
New England Series - NH,2023,6/9/23,50
Breckenridge Road Marathon,2023,10/7/23,49
Cummins Falls Marathon,2023,2/25/23,49
Crater Lake Marathon,2023,8/12/23,48
Independence Series - NJ,2023,6/3/23,48
Lakeside Marathon,2023,10/13/23,48
Cal-Neva Marathon,2023,10/14/23,47
Enchanted Forest,2023,7/29/23,47
Pettit Indoor Marathon,2023,3/5/23,47
Appalachian Series - SC,2023,3/26/23,46
Humboldt Bay Marathon,2023,8/13/23,46
New England Series - MA,2023,6/7/23,46
Run With the Horses Marathon,2023,8/19/23,46
Rails to Trails Marathon,2023,10/1/23,45
Bizz Johnson Trail Marathon,2023,10/7/23,44
Dances With Dirt Gnaw Bone,2023,5/20/23,44
Idaho Falls MAD Marathon,2023,7/29/23,44
Minocqua No Frills Marathon,2023,9/3/23,44
Run for the Ranch Marathon,2023,12/30/23,44
Bear Lake Marathon,2023,6/10/23,43
Center of the Nation Marathon - Montana,2023,10/7/23,43
Skyline Mountain Marathon,2023,8/12/23,43
Thelma and Louise Marathon,2023,5/13/23,43
Center of the Nation Marathon - South Dakota,2023,10/5/23,42
Devil After Dark Marathon,2023,9/16/23,42
Appalachian Series - AL,2023,3/24/23,41
Center of the Nation Marathon - Wyoming,2023,10/4/23,41
Drake Well Marathon,2023,8/20/23,41
Prairie Series - IA,2023,5/16/23,41
Priest Lake Marathon,2023,9/30/23,41
Tecumseh Trail Marathon,2023,10/21/23,41
Tri-Cities Marathon,2023,10/29/23,41
Windsor Marathon,2023,10/8/23,41
Yuma Territorial Marathon and Half Marathon,2023,1/28/23,41
DoLittle Marathon,2023,9/16/23,40
Med Bow Rail Marathon,2023,8/12/23,40
Night Moves,2023,9/16/23,40
Strolling Jim marathon,2023,5/6/23,40
Western Maryland Rail Trail Marathon,2023,10/15/23,40
Appalachian Series - NC,2023,3/27/23,39
"Labor Day Triple, Day 1",2023,9/2/23,39
Nutmeg State Marathon,2023,5/7/23,39
Tulsa Urban Adventure Race Marathon,2023,9/30/23,39
Wildwood Trail Marathon,2023,12/2/23,39
ZoombieRunner Halloween Marathon,2023,10/29/23,39
Four Corners Quad Keyah Marathon - Day 3,2023,12/9/23,38
Granite State Marathon,2023,5/13/23,38
Lithia Loop Trail Marathon,2023,11/4/23,38
Prairie Series - KS,2023,5/14/23,38
Run for the Elk Marathon Race Festival,2023,7/29/23,38
Southwest Series - AZ,2023,11/8/23,38
Andrew Jackson Marathon,2023,4/1/23,37
Big Sky Marathon,2023,7/9/23,37
Independence Series - NY,2023,6/4/23,37
Prairie Series - NE,2023,5/15/23,37
Running With The Devil Marathon,2023,6/17/23,37
Southwest Series - UT,2023,11/7/23,37
Wyoming Marathon,2023,5/28/23,37
Center of the Nation Marathon - North Dakota,2023,10/6/23,36
Four Corners Quad Keyah Marathon - Day 1,2023,12/7/23,36
Four Corners Quad Keyah Marathon - Day 4,2023,12/10/23,36
Redwood Trail Run (Summer),2023,8/12/23,36
Seaside Marathon,2023,2/19/23,36
Four Corners Quad Keyah Marathon - Day 2,2023,12/8/23,35
Heartland Series - WI,2023,7/13/23,35
Olde Girdled Grit (OGG) Trail Run,2023,2/25/23,35
Topo Trail Marathon,2023,12/3/23,35
American Birkebeiner Trail Run,2023,9/23/23,34
Appalachian Series - TN,2023,3/28/23,34
Bear Paw Marathon,2023,6/3/23,34
Boring Marathon,2023,9/10/23,34
New Year's Eve Marathon,2023,12/31/23,34
Northwest Series - ID,2023,9/27/23,34
Queens Marathon and QDR Half Marathon,2023,4/2/23,34
Backside Trail Marathon and Half,2023,4/30/23,33
Golden Gate Trail Run Marathon,2023,2/4/23,33
Gulf Coast Series - MS,2023,3/22/23,33
Heartland Series - IL,2023,7/11/23,33
Lake Chabot Trail Marathon,2023,11/4/23,33
Maple Leaf Marathon,2023,5/12/23,33
Otter Creek Trail Marathon,2023,12/16/23,33
